w1,threshold,alpha_l2,w2_no_l3,w2_l3,w3_l3,pearson_r,rmse,mae
0.4,0.6,0.6,0.6,0.36,0.24,0.3766,0.1327,0.0958
0.2,0.6,0.7,0.8,0.56,0.24,0.3764,0.1372,0.1025
0.45,0.6,0.6,0.55,0.33,0.22,0.3763,0.1325,0.0954
0.4,0.65,0.5,0.6,0.3,0.3,0.3761,0.1307,0.095
0.15,0.65,0.6,0.85,0.51,0.34,0.376,0.1341,0.1033
0.35,0.6,0.6,0.65,0.39,0.26,0.3759,0.1332,0.0966
0.35,0.65,0.5,0.65,0.325,0.325,0.3755,0.1307,0.0953
0.45,0.65,0.5,0.55,0.275,0.275,0.3754,0.131,0.0948
0.5,0.6,0.6,0.5,0.3,0.2,0.375,0.1327,0.0965
0.3,0.6,0.6,0.7,0.42,0.28,0.3742,0.134,0.0978
0.5,0.65,0.5,0.5,0.25,0.25,0.3737,0.1316,0.096
0.3,0.65,0.5,0.7,0.35,0.35,0.3737,0.1311,0.0961
0.15,0.7,0.5,0.85,0.425,0.425,0.3721,0.1313,0.1015
0.15,0.6,0.7,0.85,0.595,0.255,0.372,0.1393,0.1051
0.25,0.6,0.6,0.75,0.45,0.3,0.3715,0.1352,0.0998
0.4,0.7,0.4,0.6,0.24,0.36,0.3713,0.1302,0.0945
0.45,0.7,0.4,0.55,0.22,0.33,0.3713,0.1307,0.0946
0.25,0.65,0.5,0.75,0.375,0.375,0.3705,0.1317,0.0979
0.5,0.7,0.4,0.5,0.2,0.3,0.3701,0.1314,0.096
0.1,0.65,0.6,0.9,0.54,0.36,0.37,0.1358,0.1058
0.35,0.7,0.4,0.65,0.26,0.39,0.3696,0.1301,0.0948
0.2,0.6,0.6,0.8,0.48,0.32,0.3678,0.1368,0.1022
0.1,0.8,0.4,0.9,0.36,0.54,0.3676,0.13,0.088
0.45,0.6,0.5,0.55,0.275,0.275,0.3669,0.1331,0.096
0.1,0.6,0.7,0.9,0.63,0.27,0.3668,0.1416,0.1077
0.4,0.6,0.5,0.6,0.3,0.3,0.3664,0.1332,0.0963
0.5,0.6,0.5,0.5,0.25,0.25,0.3664,0.1333,0.0971
0.3,0.7,0.4,0.7,0.28,0.42,0.366,0.1302,0.0954
0.2,0.65,0.5,0.8,0.4,0.4,0.3659,0.1326,0.1001
0.35,0.6,0.5,0.65,0.325,0.325,0.365,0.1336,0.0967
0.1,0.7,0.5,0.9,0.45,0.45,0.3638,0.1325,0.1039
0.15,0.6,0.6,0.85,0.51,0.34,0.3632,0.1386,0.1048
0.3,0.6,0.5,0.7,0.35,0.35,0.3625,0.1344,0.0976
0.5,0.65,0.4,0.5,0.2,0.3,0.3619,0.1324,0.0967
0.45,0.65,0.4,0.55,0.22,0.33,0.3619,0.1319,0.0954
0.4,0.65,0.4,0.6,0.24,0.36,0.3608,0.1316,0.0955
0.25,0.7,0.4,0.75,0.3,0.45,0.3604,0.1306,0.0969
0.15,0.65,0.5,0.85,0.425,0.425,0.3599,0.1339,0.1026
0.25,0.6,0.5,0.75,0.375,0.375,0.3591,0.1355,0.0996
